clade_name	ERR4623366	ERR4623051	ERR4622866	ERR4623354	ERR4622962	ERR4623508	ERR4623367	ERR4622772	ERR4623425	ERR4623371	ERR4623363	ERR4623062	ERR4622884	ERR4622795	ERR4622950	ERR4622788	ERR4623205	ERR4623393	ERR4623407	ERR4623441	ERR4623506	ERR4623429	ERR4623170	ERR4623300	ERR4623150	ERR4623430	ERR4622949	ERR4622979	ERR4622881	ERR4623364	ERR4622869	ERR4622740	ERR4623269	ERR4623147	ERR4623456	ERR4623385	ERR4623195	ERR4622989	ERR4623511	ERR4622941	ERR4623444	ERR4623176	ERR4623330	ERR4623433	ERR4623507	ERR4623089	ERR4623022	ERR4623437	ERR4623047	ERR4623332	ERR4622750	ERR4623392	ERR4622859	ERR4622746	ERR4622731	ERR4622756	ERR4622801	ERR4623344	ERR4623369	ERR4623213	ERR4623091	ERR4622823	ERR4623164	ERR4623402	ERR4623275	ERR4623251	ERR4623431	ERR4623299	ERR4622956	ERR4622920	ERR4622995	ERR4622825	ERR4623064	ERR4623357	ERR4622767	ERR4623005	ERR4622919	ERR4623146	ERR4623191	ERR4622928	ERR4622877	ERR4623458	ERR4622827	ERR4622899	ERR4623451	ERR4623519	ERR4622763	ERR4622965	ERR4622835	ERR4622952	ERR4623336	ERR4623360	ERR4623050	ERR4623361	ERR4623503	ERR4622961	ERR4623303	ERR4622978	ERR4622757	ERR4622733	ERR4623472	ERR4622783	ERR4622963	ERR4623163	ERR4623086	ERR4622805	ERR4622722	ERR4623462	ERR4622768	ERR4622745	ERR4622863	ERR4623069	ERR4623136
k__Archaea|p__Euryarchaeota|c__Thermoplasmata|o__Methanomassiliicoccales|f__Methanomassiliicoccaceae	0.272435	0.272435	0.272435	0.272435	0.272435	0.272435	0.272435	0.272435	0.272435	0.272435	0.272435	0.272435	0.272435	0.272435	0.272435	0.272435	0.272435	0.272435	0.272435	0.272435	0.272435	0.272435	0.272435	0.272435	0.272435	0.272435	0.272435	0.272435	0.272435	0.272435	0.272435	0.272435	0.272435	0.272435	0.272435	0.272435	0.272435	0.272435	0.272435	0.272435	0.272435	0.272435	0.272435	0.272435	0.272435	0.272435	0.272435	0.272435	0.272435	0.272435	0.272435	0.272435	0.272435	0.272435	0.272435	0.272435	0.272435	0.272435	0.272435	0.272435	0.272435	0.272435	0.272435	0.272435	0.272435	0.272435	0.272435	0.272435	0.272435	0.272435	0.272435	0.272435	0.272435	0.272435	0.272435	0.272435	0.272435	0.272435	0.272435	0.272435	0.272435	0.272435	0.272435	0.272434	0.272435	0.272435	0.272435	0.272435	0.272435	0.272435	0.272435	0.272435	0.272435	0.272435	0.272435	0.272435	0.272435	0.272435	0.272435	0.272435	0.272435	0.272435	0.272435	0.272435	0.272435	0.272435	0.272435	0.272435	0.272435	0.272435	0.272435	0.272435	0.272435
k__Archaea|p__Euryarchaeota|c__Thermoplasmata|o__Methanomassiliicoccales|f__Methanomassiliicoccaceae|g__Methanomassiliicoccus	0.2736	0.2736	0.2736	0.2736	0.2736	0.2736	0.2736	0.2736	0.2736	0.2736	0.2736	0.2736	0.2736	0.2736	0.2736	0.2736	0.2736	0.2736	0.2736	0.2736	0.2736	0.2736	0.2736	0.2736	0.2736	0.2736	0.2736	0.2736	0.2736	0.2736	0.2736	0.2736	0.2736	0.2736	0.2736	0.2736	0.2736	0.2736	0.2736	0.2736	0.2736	0.2736	0.2736	0.2736	0.2736	0.2736	0.2736	0.2736	0.2736	0.2736	0.2736	0.2736	0.2736	0.2736	0.2736	0.2736	0.2736	0.2736	0.2736	0.2736	0.2736	0.2736	0.2736	0.2736	0.2736	0.2736	0.2736	0.2736	0.2736	0.2736	0.2736	0.2736	0.2736	0.2736	0.2736	0.2736	0.2736	0.2736	0.2736	0.2736	0.2736	0.2736	0.2736	0.2736	0.2736	0.2736	0.2736	0.2736	0.2736	0.2736	0.2736	0.2736	0.2736	0.2736	0.2736	0.2736	0.2736	0.2736	0.2736	0.2736	0.2736	0.2736	0.2736	0.2736	0.2736	0.2736	0.2736	0.2736	0.2736	0.2736	0.2736	0.2736	0.2736
k__Archaea|p__Euryarchaeota|c__Thermoplasmata|o__Methanomassiliicoccales|f__Methanomassiliicoccaceae|g__Methanomassiliicoccus|s__Candidatus_Methanomassiliicoccus_intestinalis	0.275693	0.275693	0.275693	0.275693	0.275693	0.275693	0.275693	0.275693	0.275693	0.275693	0.275693	0.275693	0.275693	0.275693	0.275693	0.275693	0.275693	0.275693	0.275693	0.275693	0.275693	0.275693	0.275693	0.275693	0.275693	0.275693	0.275693	0.275693	0.275693	0.275693	0.275693	0.275693	0.275693	0.275693	0.275693	0.275693	0.275693	0.275693	0.275693	0.275693	0.275693	0.275693	0.275693	0.275693	0.275693	0.275693	0.275693	0.275693	0.275693	0.275693	0.275693	0.275693	0.275693	0.275693	0.275693	0.275693	0.275693	0.275693	0.275693	0.275693	0.275693	0.275693	0.275693	0.275693	0.275693	0.275693	0.275693	0.275693	0.275693	0.275693	0.275693	0.275693	0.275693	0.275693	0.275693	0.275693	0.275693	0.275693	0.275693	0.275693	0.275693	0.275693	0.275693	0.275693	0.275693	0.275693	0.275693	0.275693	0.275693	0.275693	0.275693	0.275693	0.275693	0.275693	0.275693	0.275693	0.275693	0.275693	0.275693	0.275693	0.275693	0.275693	0.275693	0.275693	0.275693	0.275693	0.275693	0.275693	0.275693	0.275693	0.275693	0.275693	0.275693
k__Bacteria	0.986606	0.986606	0.986606	0.986606	0.986606	0.986606	0.986606	0.986606	0.986606	0.986606	0.986606	0.986606	0.986606	0.986606	0.986606	0.986606	0.986606	0.986606	0.986606	0.986606	0.986606	0.986606	0.986606	0.986606	0.986606	0.986606	0.986606	0.986606	0.986606	0.986606	0.986606	0.986606	0.986606	0.986606	0.986606	0.986606	0.986606	0.986606	0.986606	0.986606	0.986606	0.986606	0.986606	0.986606	0.986606	0.986606	0.986606	0.986606	0.986606	0.986606	0.986606	0.986606	0.986606	0.986606	0.986606	0.986606	0.986606	0.986606	0.986606	0.986606	0.986606	0.986606	0.986606	0.986606	0.986606	0.986606	0.986606	0.986606	0.986606	0.986606	0.986606	0.986606	0.986606	0.986606	0.986606	0.986606	0.986606	0.986606	0.986606	0.986606	0.986606	0.986606	0.986606	0.986607	0.986606	0.986606	0.986606	0.986606	0.986606	0.986606	0.986606	0.986606	0.986606	0.986606	0.986606	0.986606	0.986606	0.986606	0.986606	0.986606	0.986606	0.986606	0.986606	0.986606	0.986606	0.986606	0.986606	0.986606	0.986606	0.986606	0.986606	0.986606	0.986606
k__Bacteria|p__Actinobacteria	0.265828	0.265828	0.265828	0.265828	0.265828	0.265828	0.265828	0.265828	0.265828	0.265828	0.265828	0.265828	0.265828	0.265828	0.265828	0.265828	0.265828	0.265828	0.265828	0.265828	0.265828	0.265828	0.265828	0.265828	0.265828	0.265828	0.265828	0.265828	0.265828	0.265828	0.265828	0.265828	0.265828	0.265828	0.265828	0.265828	0.265828	0.265828	0.265828	0.265828	0.265828	0.265828	0.265828	0.265828	0.265828	0.265828	0.265828	0.265828	0.265828	0.265828	0.265828	0.265828	0.265828	0.265828	0.265828	0.265828	0.265828	0.265828	0.265828	0.265828	0.265828	0.265828	0.265828	0.265828	0.265828	0.265828	0.265828	0.265828	0.265828	0.265828	0.265828	0.265828	0.265828	0.265828	0.265828	0.265828	0.265828	0.265828	0.265828	0.265828	0.265828	0.265828	0.265828	0.265828	0.265828	0.265828	0.265828	0.265828	0.265828	0.265828	0.265828	0.265828	0.265828	0.265828	0.265828	0.265828	0.265828	0.265828	0.265828	0.265828	0.265828	0.265828	0.265828	0.265828	0.265828	0.265828	0.265828	0.265828	0.265828	0.265828	0.265828	0.265828	0.265828
k__Bacteria|p__Actinobacteria|c__Actinobacteria	0.266975	0.266975	0.266975	0.266975	0.266975	0.266975	0.266975	0.266975	0.266975	0.266975	0.266975	0.266975	0.266975	0.266975	0.266975	0.266975	0.266975	0.266975	0.266975	0.266975	0.266975	0.266975	0.266975	0.266975	0.266975	0.266975	0.266975	0.266975	0.266975	0.266975	0.266975	0.266975	0.266975	0.266975	0.266975	0.266975	0.266975	0.266975	0.266975	0.266975	0.266975	0.266975	0.266975	0.266975	0.266975	0.266975	0.266975	0.266975	0.266975	0.266975	0.266975	0.266975	0.266975	0.266975	0.266975	0.266975	0.266975	0.266975	0.266975	0.266975	0.266975	0.266975	0.266975	0.266975	0.266975	0.266975	0.266975	0.266975	0.266975	0.266975	0.266975	0.266975	0.266975	0.266975	0.266975	0.266975	0.266975	0.266975	0.266975	0.266975	0.266975	0.266975	0.266975	0.266975	0.266975	0.266975	0.266975	0.266975	0.266975	0.266975	0.266975	0.266975	0.266975	0.266975	0.266975	0.266975	0.266975	0.266975	0.266975	0.266975	0.266975	0.266975	0.266975	0.266975	0.266975	0.266975	0.266975	0.266975	0.266975	0.266975	0.266975	0.266975	0.266975
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales	0.268823	0.268823	0.268823	0.268823	0.268823	0.268823	0.268823	0.268823	0.268823	0.268823	0.268823	0.268823	0.268823	0.268823	0.268823	0.268823	0.268823	0.268823	0.268823	0.268823	0.268823	0.268823	0.268823	0.268823	0.268823	0.268823	0.268823	0.268823	0.268823	0.268823	0.268823	0.268823	0.268823	0.268823	0.268823	0.268823	0.268823	0.268823	0.268823	0.268823	0.268823	0.268823	0.268823	0.268823	0.268823	0.268823	0.268823	0.268823	0.268823	0.268823	0.268823	0.268823	0.268823	0.268823	0.268823	0.268823	0.268823	0.268823	0.268823	0.268823	0.268823	0.268823	0.268823	0.268823	0.268823	0.268823	0.268823	0.268823	0.268823	0.268823	0.268823	0.268823	0.268823	0.268823	0.268823	0.268823	0.268823	0.268823	0.268823	0.268823	0.268823	0.268823	0.268823	0.268823	0.268823	0.268823	0.268823	0.268823	0.268823	0.268823	0.268823	0.268823	0.268823	0.268823	0.268823	0.268823	0.268823	0.268823	0.268823	0.268823	0.268823	0.268823	0.268823	0.268823	0.268823	0.268823	0.268823	0.268823	0.268823	0.268823	0.268823	0.268823	0.268823
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae	0.272679	0.272679	0.272679	0.272679	0.272679	0.272679	0.272679	0.272679	0.272679	0.272679	0.272679	0.272679	0.272679	0.272679	0.272679	0.272679	0.272679	0.272679	0.272679	0.272679	0.272679	0.272679	0.272679	0.272679	0.272679	0.272679	0.272679	0.272679	0.272679	0.272679	0.272679	0.272679	0.272679	0.272679	0.272679	0.272679	0.272679	0.272679	0.272679	0.272679	0.272679	0.272679	0.272679	0.272679	0.272679	0.272679	0.272679	0.272679	0.272679	0.272679	0.272679	0.272679	0.272679	0.272679	0.272679	0.272679	0.272679	0.272679	0.272679	0.272679	0.272679	0.272679	0.272679	0.272679	0.272679	0.272679	0.272679	0.272679	0.272679	0.272679	0.272679	0.272679	0.272679	0.272679	0.272679	0.272679	0.272679	0.272679	0.272679	0.272679	0.272679	0.272679	0.272679	0.272679	0.272679	0.272679	0.272679	0.272679	0.272679	0.272679	0.272679	0.272679	0.272679	0.272679	0.272679	0.272679	0.272679	0.272679	0.272679	0.272679	0.272679	0.272679	0.272679	0.272679	0.272679	0.272679	0.272679	0.272679	0.272679	0.272679	0.272679	0.272679	0.272679
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces	0.267715	0.267715	0.267715	0.267715	0.267715	0.267715	0.267715	0.267715	0.267715	0.267715	0.267715	0.267715	0.267715	0.267715	0.267715	0.267715	0.267715	0.267715	0.267715	0.267715	0.267715	0.267715	0.267715	0.267715	0.267715	0.267715	0.267715	0.267715	0.267715	0.267715	0.267715	0.267715	0.267715	0.267715	0.267715	0.267715	0.267715	0.267715	0.267715	0.267715	0.267715	0.267715	0.267715	0.267715	0.267715	0.267715	0.267715	0.267715	0.267715	0.267715	0.267715	0.267715	0.267715	0.267715	0.267715	0.267715	0.267715	0.267715	0.267715	0.267715	0.267715	0.267715	0.267715	0.267715	0.267715	0.267715	0.267715	0.267715	0.267715	0.267715	0.267715	0.267715	0.267715	0.267715	0.267715	0.267715	0.267715	0.267715	0.267715	0.267715	0.267715	0.267715	0.267715	0.267715	0.267715	0.267715	0.267715	0.267715	0.267715	0.267715	0.267715	0.267715	0.267715	0.267715	0.267715	0.267715	0.267715	0.267715	0.267715	0.267715	0.267715	0.267715	0.267715	0.267715	0.267715	0.267715	0.267715	0.267715	0.267715	0.267715	0.267715	0.267715	0.267715
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_graevenitzii	0.273436	0.273436	0.273436	0.273436	0.273436	0.273436	0.273436	0.273436	0.273436	0.273436	0.273436	0.273436	0.273436	0.273436	0.273436	0.273436	0.273436	0.273436	0.273436	0.273436	0.273436	0.273436	0.273436	0.273436	0.273436	0.273436	0.273436	0.273436	0.273436	0.273436	0.273436	0.273436	0.273436	0.273436	0.273436	0.273436	0.273436	0.273436	0.273436	0.273436	0.273436	0.273436	0.273436	0.273436	0.273436	0.273436	0.273436	0.273436	0.273436	0.273436	0.273436	0.273436	0.273436	0.273436	0.273436	0.273436	0.273436	0.273436	0.273436	0.273436	0.273436	0.273436	0.273436	0.273436	0.273436	0.273436	0.273436	0.273436	0.273436	0.273436	0.273436	0.273436	0.273436	0.273436	0.273436	0.273436	0.273436	0.273436	0.273436	0.273436	0.273436	0.273436	0.273436	0.273436	0.273436	0.273436	0.273436	0.273436	0.273436	0.273436	0.273436	0.273436	0.273436	0.273436	0.273436	0.273436	0.273436	0.273436	0.273436	0.273436	0.273436	0.273436	0.273436	0.273436	0.273436	0.273436	0.273436	0.273436	0.273436	0.273436	0.273436	0.273436	0.273436
